video_id,question_id,question,category,correct_answer,num_options,generated_options,min_similarity,max_similarity,mean_similarity,std_similarity,elapsed_time
000003,1,"Based on the video, what were the weather and lighting conditions at the time of the accident?",Weather & Light,Daytime with clear skies and a dry road surface.,2,Daytime with partly cloudy skies and a wet road surface.,0.45026814465562653,0.45026814465562653,0.45026814465562653,0.0,5.871655464172363
000003,2,Which of the following best describes the traffic environment where the collision occurred?,Traffic Environment,An urban area with roadside buildings and some parked vehicles.,2,suburban road with open fields and minimal roadside structures.,0.0845798608014702,0.0845798608014702,0.0845798608014702,0.0,3.299508571624756
000003,3,What is the configuration of the road shown in the video?,Road Configuration,A multi-lane road with at least two lanes in one direction and no physical median.,2,two-lane road with a physical median separating opposing traffic flows,0.368023208756115,0.368023208756115,0.368023208756115,0.0,3.7914624214172363
000003,4,What type of collision occurs between the two vehicles?,Accident Type,"A T-bone (side-impact) collision, where the front of one car hits the side of another.",2,"rear-end collision, where one vehicle strikes the back of another from behind.",0.11234277891542777,0.11234277891542777,0.11234277891542777,0.0,2.9981698989868164
000003,5,What was the primary cause of this accident?,Accident Cause,The silver hatchback made an unsafe turn across a lane of traffic without yielding.,2,The silver hatchback failed to maintain a safe distance while following another vehicle.,0.15592892548708362,0.15592892548708362,0.15592892548708362,0.0,2.9154672622680664
000003,6,By which means could the collision be prevented?,Accident Prevention,The silver car wait for the video car to pass before starting the maneuver.,2,The video car could have slowed down before entering the intersection to avoid the collision.,0.2256946924331068,0.2256946924331068,0.2256946924331068,0.0,3.2479729652404785
000018,1,"Based on the video footage, what are the prevailing weather and lighting conditions at the time of the incident?",Weather & Light,Daytime with overcast skies and a dry road surface.,2,Daytime with clear skies and a wet road surface.,0.5031026124151314,0.5031026124151314,0.5031026124151314,0.0,3.276613235473633
000018,2,Which of the following best describes the traffic environment shown in the video?,Traffic Environment,A multi-lane urban main road.,2,busy urban street with tram tracks and moderate traffic.,0.09349477497536716,0.09349477497536716,0.09349477497536716,0.0,4.1120829582214355
000018,3,What is a distinct feature of the road's layout where the accident occurs?,Road Configuration,The road is straight and incorporates tram tracks running along the center.,2,The road is curved with tram tracks positioned along the sides.,0.3041257418754935,0.3041257418754935,0.3041257418754935,0.0,3.6478145122528076
000018,4,How can the collision shown in the video be most accurately classified?,Accident Type,A sideswipe collision caused by one vehicle improperly changing lanes.,2,rear-end collision caused by a vehicle failing to maintain a safe following distance.,0.22150013430590973,0.22150013430590973,0.22150013430590973,0.0,6.146069288253784
000018,5,What was the primary and direct cause of the collision?,Accident Cause,The dark car executed a sudden and unsignaled lane change into the POV car's lane.,2,The POV car failed to maintain a safe following distance behind the vehicle ahead.,0.15800098610338656,0.15800098610338656,0.15800098610338656,0.0,3.5941245555877686
000018,6,Which action would have been the most effective measure to prevent this accident?,Accident Prevention,"The black car should properly check their mirrors and blind spot, and wait for the video car to pass before moving over.",2,The video car should have maintained a greater following distance to allow more reaction time when the black car began to move.,0.27519581217502304,0.27519581217502304,0.27519581217502304,0.0,4.6497721672058105
