csv_version_files,txt_version_files,overlap_files
000003.mp4,000032.mp4,000033.mp4
000018.mp4,000033.mp4,000066.mp4
000023.mp4,000042.mp4,000074.mp4
000031.mp4,000062.mp4,000078.mp4
000033.mp4,000066.mp4,000136.mp4
000039.mp4,000074.mp4,000142.mp4
000048.mp4,000078.mp4,000156.mp4
000059.mp4,000104.mp4,000166.mp4
000066.mp4,000117.mp4,000167.mp4
000074.mp4,000125.mp4,000177.mp4
000078.mp4,000134.mp4,000185.mp4
000083.mp4,000136.mp4,000198.mp4
000087.mp4,000142.mp4,000215.mp4
000109.mp4,000148.mp4,000234.mp4
000115.mp4,000150.mp4,000243.mp4
000130.mp4,000156.mp4,000246.mp4
000136.mp4,000166.mp4,000250.mp4
000137.mp4,000167.mp4,000255.mp4
000142.mp4,000171.mp4,000264.mp4
000156.mp4,000177.mp4,000267.mp4
000157.mp4,000185.mp4,000276.mp4
000159.mp4,000195.mp4,000278.mp4
000161.mp4,000198.mp4,000300.mp4
000163.mp4,000205.mp4,000306.mp4
000166.mp4,000215.mp4,000343.mp4
000167.mp4,000234.mp4,000349.mp4
000177.mp4,000241.mp4,000360.mp4
000179.mp4,000243.mp4,000363.mp4
000181.mp4,000246.mp4,000371.mp4
000182.mp4,000249.mp4,000394.mp4
000185.mp4,000250.mp4,000407.mp4
000187.mp4,000255.mp4,000416.mp4
000188.mp4,000258.mp4,000426.mp4
000190.mp4,000264.mp4,000427.mp4
000191.mp4,000267.mp4,000432.mp4
000193.mp4,000276.mp4,000440.mp4
000198.mp4,000278.mp4,000462.mp4
000199.mp4,000300.mp4,000464.mp4
000202.mp4,000306.mp4,000465.mp4
000206.mp4,000311.mp4,000474.mp4
000214.mp4,000317.mp4,000487.mp4
000215.mp4,000339.mp4,000491.mp4
000220.mp4,000343.mp4,000572.mp4
000234.mp4,000349.mp4,000578.mp4
000243.mp4,000353.mp4,000614.mp4
000244.mp4,000358.mp4,000618.mp4
000246.mp4,000360.mp4,000639.mp4
000247.mp4,000363.mp4,000655.mp4
000250.mp4,000369.mp4,000691.mp4
000251.mp4,000371.mp4,000692.mp4
000255.mp4,000374.mp4,000695.mp4
000256.mp4,000394.mp4,000715.mp4
000259.mp4,000407.mp4,000722.mp4
000260.mp4,000414.mp4,000726.mp4
000264.mp4,000416.mp4,000728.mp4
000267.mp4,000426.mp4,000729.mp4
000274.mp4,000427.mp4,000733.mp4
000276.mp4,000432.mp4,000744.mp4
000278.mp4,000440.mp4,000753.mp4
000286.mp4,000462.mp4,000770.mp4
000300.mp4,000464.mp4,000775.mp4
000306.mp4,000465.mp4,000792.mp4
000309.mp4,000466.mp4,000804.mp4
000325.mp4,000469.mp4,000811.mp4
000326.mp4,000474.mp4,000815.mp4
000340.mp4,000475.mp4,000818.mp4
000343.mp4,000487.mp4,000835.mp4
000349.mp4,000490.mp4,000838.mp4
000350.mp4,000491.mp4,000840.mp4
000352.mp4,000524.mp4,000843.mp4
000360.mp4,000529.mp4,000846.mp4
000363.mp4,000572.mp4,000851.mp4
000365.mp4,000578.mp4,000860.mp4
000371.mp4,000580.mp4,000878.mp4
000379.mp4,000595.mp4,000879.mp4
000391.mp4,000600.mp4,000891.mp4
000394.mp4,000611.mp4,000901.mp4
000404.mp4,000614.mp4,000913.mp4
000407.mp4,000617.mp4,000914.mp4
000409.mp4,000618.mp4,000918.mp4
000416.mp4,000627.mp4,000919.mp4
000425.mp4,000633.mp4,000925.mp4
000426.mp4,000639.mp4,000926.mp4
000427.mp4,000655.mp4,000927.mp4
000428.mp4,000691.mp4,000946.mp4
000430.mp4,000692.mp4,000947.mp4
000432.mp4,000695.mp4,000967.mp4
000435.mp4,000699.mp4,000968.mp4
000440.mp4,000715.mp4,000969.mp4
000445.mp4,000722.mp4,000982.mp4
000462.mp4,000726.mp4,000986.mp4
000464.mp4,000728.mp4,000988.mp4
000465.mp4,000729.mp4,000992.mp4
000474.mp4,000733.mp4,001024.mp4
000477.mp4,000744.mp4,001049.mp4
000487.mp4,000749.mp4,001054.mp4
000491.mp4,000753.mp4,001073.mp4
000499.mp4,000770.mp4,001085.mp4
000500.mp4,000775.mp4,001094.mp4
000501.mp4,000792.mp4,001108.mp4
000539.mp4,000804.mp4,001126.mp4
000565.mp4,000805.mp4,001162.mp4
000572.mp4,000811.mp4,001168.mp4
000573.mp4,000815.mp4,001181.mp4
000575.mp4,000816.mp4,001184.mp4
000578.mp4,000818.mp4,001231.mp4
000579.mp4,000835.mp4,001232.mp4
000582.mp4,000838.mp4,001237.mp4
000588.mp4,000840.mp4,001242.mp4
000597.mp4,000843.mp4,001247.mp4
000599.mp4,000846.mp4,001275.mp4
000601.mp4,000851.mp4,001282.mp4
000604.mp4,000854.mp4,001283.mp4
000610.mp4,000860.mp4,001290.mp4
000614.mp4,000871.mp4,001294.mp4
000615.mp4,000878.mp4,001301.mp4
000618.mp4,000879.mp4,001303.mp4
000629.mp4,000891.mp4,001308.mp4
000632.mp4,000901.mp4,001309.mp4
000639.mp4,000913.mp4,001312.mp4
000655.mp4,000914.mp4,001316.mp4
000659.mp4,000918.mp4,001337.mp4
000664.mp4,000919.mp4,001342.mp4
000667.mp4,000925.mp4,001345.mp4
000668.mp4,000926.mp4,001347.mp4
000669.mp4,000927.mp4,001349.mp4
000678.mp4,000946.mp4,001354.mp4
000685.mp4,000947.mp4,001359.mp4
000691.mp4,000953.mp4,001361.mp4
000692.mp4,000961.mp4,001362.mp4
000695.mp4,000967.mp4,001363.mp4
000713.mp4,000968.mp4,001367.mp4
000715.mp4,000969.mp4,001370.mp4
000722.mp4,000978.mp4,001386.mp4
000723.mp4,000979.mp4,001390.mp4
000726.mp4,000982.mp4,001394.mp4
000727.mp4,000986.mp4,001406.mp4
000728.mp4,000988.mp4,001454.mp4
000729.mp4,000992.mp4,001455.mp4
000733.mp4,001001.mp4,001476.mp4
000735.mp4,001016.mp4,001482.mp4
000738.mp4,001024.mp4,
000743.mp4,001041.mp4,
000744.mp4,001049.mp4,
000748.mp4,001054.mp4,
000750.mp4,001073.mp4,
000753.mp4,001085.mp4,
000760.mp4,001094.mp4,
000764.mp4,001106.mp4,
000765.mp4,001108.mp4,
000770.mp4,001126.mp4,
000773.mp4,001127.mp4,
000775.mp4,001162.mp4,
000783.mp4,001168.mp4,
000789.mp4,001181.mp4,
000791.mp4,001184.mp4,
000792.mp4,001231.mp4,
000794.mp4,001232.mp4,
000796.mp4,001234.mp4,
000797.mp4,001237.mp4,
000799.mp4,001242.mp4,
000802.mp4,001247.mp4,
000803.mp4,001270.mp4,
000804.mp4,001275.mp4,
000806.mp4,001282.mp4,
000807.mp4,001283.mp4,
000808.mp4,001289.mp4,
000811.mp4,001290.mp4,
000815.mp4,001294.mp4,
000818.mp4,001301.mp4,
000819.mp4,001303.mp4,
000820.mp4,001308.mp4,
000822.mp4,001309.mp4,
000824.mp4,001312.mp4,
000830.mp4,001316.mp4,
000834.mp4,001318.mp4,
000835.mp4,001336.mp4,
000836.mp4,001337.mp4,
000838.mp4,001342.mp4,
000840.mp4,001345.mp4,
000843.mp4,001347.mp4,
000846.mp4,001349.mp4,
000847.mp4,001354.mp4,
000850.mp4,001359.mp4,
000851.mp4,001361.mp4,
000857.mp4,001362.mp4,
000859.mp4,001363.mp4,
000860.mp4,001367.mp4,
000864.mp4,001370.mp4,
000867.mp4,001374.mp4,
000875.mp4,001386.mp4,
000876.mp4,001390.mp4,
000877.mp4,001394.mp4,
000878.mp4,001406.mp4,
000879.mp4,001413.mp4,
000887.mp4,001441.mp4,
000891.mp4,001454.mp4,
000892.mp4,001455.mp4,
000897.mp4,001476.mp4,
000901.mp4,001482.mp4,
000902.mp4,,
000908.mp4,,
000910.mp4,,
000913.mp4,,
000914.mp4,,
000918.mp4,,
000919.mp4,,
000924.mp4,,
000925.mp4,,
000926.mp4,,
000927.mp4,,
000928.mp4,,
000929.mp4,,
000938.mp4,,
000942.mp4,,
000944.mp4,,
000946.mp4,,
000947.mp4,,
000955.mp4,,
000967.mp4,,
000968.mp4,,
000969.mp4,,
000971.mp4,,
000975.mp4,,
000976.mp4,,
000980.mp4,,
000982.mp4,,
000986.mp4,,
000988.mp4,,
000992.mp4,,
000996.mp4,,
001000.mp4,,
001002.mp4,,
001004.mp4,,
001017.mp4,,
001024.mp4,,
001033.mp4,,
001034.mp4,,
001037.mp4,,
001045.mp4,,
001049.mp4,,
001054.mp4,,
001063.mp4,,
001064.mp4,,
001070.mp4,,
001073.mp4,,
001074.mp4,,
001081.mp4,,
001085.mp4,,
001092.mp4,,
001094.mp4,,
001098.mp4,,
001103.mp4,,
001108.mp4,,
001114.mp4,,
001126.mp4,,
001132.mp4,,
001138.mp4,,
001141.mp4,,
001146.mp4,,
001148.mp4,,
001157.mp4,,
001162.mp4,,
001168.mp4,,
001169.mp4,,
001178.mp4,,
001181.mp4,,
001184.mp4,,
001189.mp4,,
001191.mp4,,
001207.mp4,,
001210.mp4,,
001218.mp4,,
001219.mp4,,
001221.mp4,,
001223.mp4,,
001228.mp4,,
001231.mp4,,
001232.mp4,,
001237.mp4,,
001242.mp4,,
001246.mp4,,
001247.mp4,,
001256.mp4,,
001265.mp4,,
001275.mp4,,
001276.mp4,,
001282.mp4,,
001283.mp4,,
001284.mp4,,
001287.mp4,,
001290.mp4,,
001293.mp4,,
001294.mp4,,
001295.mp4,,
001300.mp4,,
001301.mp4,,
001303.mp4,,
001308.mp4,,
001309.mp4,,
001312.mp4,,
001314.mp4,,
001316.mp4,,
001317.mp4,,
001321.mp4,,
001325.mp4,,
001337.mp4,,
001340.mp4,,
001342.mp4,,
001344.mp4,,
001345.mp4,,
001346.mp4,,
001347.mp4,,
001349.mp4,,
001354.mp4,,
001355.mp4,,
001359.mp4,,
001361.mp4,,
001362.mp4,,
001363.mp4,,
001365.mp4,,
001366.mp4,,
001367.mp4,,
001370.mp4,,
001378.mp4,,
001379.mp4,,
001386.mp4,,
001387.mp4,,
001390.mp4,,
001394.mp4,,
001399.mp4,,
001406.mp4,,
001421.mp4,,
001427.mp4,,
001428.mp4,,
001430.mp4,,
001437.mp4,,
001452.mp4,,
001454.mp4,,
001455.mp4,,
001475.mp4,,
001476.mp4,,
001482.mp4,,
001484.mp4,,
