video_name,dynamic_change,scene_complexity,has_vru
000001.mp4,0.469970703125,3,0
000002.mp4,0.359375,3,0
000003.mp4,0.43212890625,8,1
000004.mp4,0.4794921875,2,0
000005.mp4,0.3564453125,4,0
000006.mp4,0.53076171875,2,0
000007.mp4,0.338134765625,6,1
000008.mp4,0.468017578125,1,0
000009.mp4,0.5439453125,4,0
000010.mp4,0.853515625,1,0
000011.mp4,0.393798828125,3,0
000012.mp4,0.69677734375,4,0
000013.mp4,0.40087890625,3,0
000014.mp4,0.334228515625,4,1
000015.mp4,0.57763671875,3,0
000016.mp4,1.265625,1,0
000017.mp4,0.79833984375,2,0
000018.mp4,0.671875,8,0
000019.mp4,0.7724609375,2,0
000020.mp4,0.52392578125,4,0
000021.mp4,1.0478515625,3,0
000022.mp4,0.366943359375,4,0
000023.mp4,0.439208984375,7,0
000024.mp4,0.95263671875,1,0
000025.mp4,0.845703125,2,0
000026.mp4,0.4814453125,7,1
000027.mp4,0.72021484375,3,0
000028.mp4,0.66845703125,6,1
000029.mp4,0.7275390625,3,0
000030.mp4,0.49462890625,5,0
000031.mp4,0.351318359375,8,1
000032.mp4,0.344970703125,7,1
000033.mp4,0.44140625,7,0
000034.mp4,0.568359375,2,0
000035.mp4,0.368408203125,0,0
000036.mp4,0.436767578125,3,1
000037.mp4,1.0703125,2,0
000038.mp4,0.448486328125,4,0
000039.mp4,0.49169921875,12,1
000040.mp4,0.7529296875,1,0
000041.mp4,0.7490234375,3,0
000042.mp4,0.71142578125,6,0
000043.mp4,0.52294921875,3,0
000044.mp4,0.873046875,2,0
000045.mp4,0.79541015625,2,0
000046.mp4,0.509765625,4,0
000047.mp4,0.60693359375,5,0
000048.mp4,0.348876953125,7,1
000049.mp4,0.9326171875,2,0
000050.mp4,0.42919921875,2,0
000051.mp4,0.369140625,1,0
000052.mp4,0.3837890625,4,0
000053.mp4,0.5078125,4,0
000054.mp4,0.43310546875,5,0
000055.mp4,0.265869140625,6,1
000056.mp4,0.74853515625,2,0
000057.mp4,0.29345703125,4,1
000058.mp4,0.3701171875,3,0
000059.mp4,0.3134765625,7,1
000060.mp4,0.451416015625,8,0
000061.mp4,0.58740234375,6,0
000062.mp4,0.53857421875,9,0
000063.mp4,0.43994140625,2,0
000064.mp4,0.4794921875,2,0
000065.mp4,0.68896484375,4,0
000066.mp4,0.7890625,6,1
000067.mp4,0.3154296875,3,1
000068.mp4,0.6396484375,2,0
000069.mp4,0.67236328125,1,0
000070.mp4,0.40185546875,3,0
000071.mp4,0.44970703125,1,0
000072.mp4,0.52587890625,3,0
000073.mp4,0.4111328125,3,0
000074.mp4,0.368408203125,9,1
000075.mp4,0.96875,7,1
000076.mp4,0.80908203125,3,0
000077.mp4,0.435791015625,3,0
000078.mp4,0.45703125,6,0
000079.mp4,0.450927734375,4,0
000080.mp4,0.64892578125,1,0
000081.mp4,0.46044921875,3,0
000082.mp4,0.392822265625,2,0
000083.mp4,0.345947265625,13,1
000084.mp4,1.0830078125,3,0
000085.mp4,0.7607421875,3,0
000086.mp4,0.43408203125,1,0
000087.mp4,0.497802734375,10,1
000088.mp4,0.8076171875,1,0
000089.mp4,0.332275390625,4,0
000090.mp4,0.411865234375,3,0
000091.mp4,0.87451171875,2,0
000092.mp4,0.88720703125,1,0
000093.mp4,0.60546875,4,1
000094.mp4,0.8251953125,2,1
000095.mp4,0.525390625,1,0
000096.mp4,0.7236328125,3,0
000097.mp4,0.4931640625,5,1
000098.mp4,1.1240234375,5,1
000099.mp4,1.1220703125,2,0
000100.mp4,0.42236328125,2,0
000101.mp4,0.37890625,4,1
000102.mp4,0.55029296875,4,0
000103.mp4,0.469482421875,1,0
000104.mp4,0.73974609375,9,1
000105.mp4,0.59716796875,1,0
000106.mp4,0.26611328125,1,0
000107.mp4,0.578125,1,0
000108.mp4,1.23828125,5,0
000109.mp4,0.479248046875,8,0
000110.mp4,0.244140625,7,1
000111.mp4,0.404052734375,1,0
000112.mp4,0.724609375,1,0
000113.mp4,0.2279052734375,2,0
000114.mp4,0.329345703125,5,0
000115.mp4,0.60888671875,6,0
000116.mp4,0.845703125,2,0
000117.mp4,0.354736328125,6,1
000118.mp4,0.321044921875,4,0
000119.mp4,0.36376953125,2,0
000120.mp4,0.227294921875,3,0
000121.mp4,0.69921875,4,1
000122.mp4,1.005859375,5,0
000123.mp4,0.454345703125,2,1
000124.mp4,0.337890625,4,0
000125.mp4,0.375244140625,6,0
000126.mp4,0.419189453125,2,0
000127.mp4,0.273193359375,7,1
000128.mp4,0.703125,2,0
000129.mp4,0.95263671875,4,0
000130.mp4,0.433349609375,7,0
000131.mp4,0.4228515625,2,0
000132.mp4,0.39453125,5,1
000133.mp4,0.84619140625,1,0
000134.mp4,0.383544921875,7,1
000135.mp4,0.60595703125,3,0
000136.mp4,0.6572265625,6,1
000137.mp4,0.2144775390625,6,1
000138.mp4,0.361083984375,4,0
