video_name,accident_frame,dynamic_change,scene_complexity,window_length
000001.mp4,32,0.783203125,3,48
000002.mp4,30,0.779296875,3,50
000003.mp4,31,0.6923828125,8,49
000004.mp4,41,0.48486328125,2,39
000005.mp4,30,0.83642578125,4,50
000006.mp4,45,0.53662109375,2,35
000007.mp4,31,0.625,6,49
000008.mp4,38,0.47314453125,1,42
000009.mp4,35,0.55029296875,4,45
000010.mp4,31,0.86328125,1,49
000011.mp4,43,0.51025390625,3,37
000012.mp4,30,0.70458984375,4,50
000013.mp4,45,0.80419921875,3,35
000014.mp4,44,0.7158203125,4,36
000015.mp4,49,0.59814453125,3,31
000016.mp4,42,1.279296875,1,38
000017.mp4,47,0.80712890625,2,33
000018.mp4,40,0.345947265625,8,40
000019.mp4,42,0.78125,2,38
000020.mp4,39,0.64892578125,4,41
000021.mp4,31,0.8427734375,3,49
000022.mp4,44,0.533203125,4,36
000023.mp4,38,0.411376953125,7,42
000024.mp4,32,0.96337890625,1,48
000025.mp4,33,0.85498046875,2,47
000026.mp4,36,0.385986328125,7,44
000027.mp4,35,0.72802734375,3,45
000028.mp4,37,0.67578125,6,43
000029.mp4,35,0.73583984375,3,45
000030.mp4,34,0.66943359375,5,46
000031.mp4,32,0.479736328125,8,48
000032.mp4,36,0.73193359375,7,44
000033.mp4,33,0.798828125,7,47
000034.mp4,41,0.57470703125,2,39
000035.mp4,48,0.37255859375,0,32
000036.mp4,46,0.76220703125,3,34
000037.mp4,34,1.08203125,2,46
000038.mp4,46,0.6259765625,4,34
000039.mp4,30,0.2958984375,12,50
000040.mp4,31,0.76123046875,1,49
000041.mp4,46,0.75732421875,3,34
000042.mp4,35,0.71923828125,6,45
000043.mp4,36,0.759765625,3,44
000044.mp4,34,0.88232421875,2,46
000045.mp4,43,0.80419921875,2,37
000046.mp4,38,1.0,4,42
000047.mp4,46,0.7001953125,5,34
000048.mp4,44,0.336669921875,7,36
000049.mp4,33,0.94287109375,2,47
000050.mp4,38,0.48095703125,2,42
000051.mp4,44,0.373046875,1,36
