complexity,dynamic,count,percentage
4,0.5,645,43.0
4,0.55,609,40.6
4,0.6000000000000001,564,37.6
4,0.6500000000000001,508,33.86666666666667
4,0.7000000000000002,423,28.199999999999996
4,0.7500000000000002,328,21.866666666666667
4,0.8000000000000003,242,16.133333333333333
4,0.8500000000000003,158,10.533333333333333
4,0.9000000000000004,108,7.199999999999999
5,0.5,454,30.266666666666666
5,0.55,425,28.333333333333332
5,0.6000000000000001,391,26.066666666666666
5,0.6500000000000001,354,23.599999999999998
5,0.7000000000000002,296,19.733333333333334
5,0.7500000000000002,239,15.933333333333334
5,0.8000000000000003,182,12.133333333333333
5,0.8500000000000003,120,8.0
5,0.9000000000000004,81,5.4
6,0.5,310,20.666666666666668
6,0.55,290,19.333333333333332
6,0.6000000000000001,266,17.733333333333334
6,0.6500000000000001,239,15.933333333333334
6,0.7000000000000002,200,13.333333333333334
6,0.7500000000000002,161,10.733333333333334
6,0.8000000000000003,121,8.066666666666666
6,0.8500000000000003,78,5.2
6,0.9000000000000004,49,3.266666666666666
7,0.5,207,13.8
7,0.55,194,12.933333333333334
7,0.6000000000000001,176,11.733333333333333
7,0.6500000000000001,159,10.6
7,0.7000000000000002,134,8.933333333333334
7,0.7500000000000002,111,7.3999999999999995
7,0.8000000000000003,83,5.533333333333333
7,0.8500000000000003,50,3.3333333333333335
7,0.9000000000000004,34,2.2666666666666666
8,0.5,127,8.466666666666667
8,0.55,122,8.133333333333333
8,0.6000000000000001,110,7.333333333333333
8,0.6500000000000001,99,6.6000000000000005
8,0.7000000000000002,80,5.333333333333334
8,0.7500000000000002,68,4.533333333333333
8,0.8000000000000003,52,3.4666666666666663
8,0.8500000000000003,34,2.2666666666666666
8,0.9000000000000004,23,1.5333333333333332
9,0.5,69,4.6
9,0.55,69,4.6
9,0.6000000000000001,62,4.133333333333333
9,0.6500000000000001,56,3.733333333333334
9,0.7000000000000002,47,3.1333333333333333
9,0.7500000000000002,38,2.533333333333333
9,0.8000000000000003,25,1.6666666666666667
9,0.8500000000000003,18,1.2
9,0.9000000000000004,13,0.8666666666666666
